bridges	arxiv_version	abstract_url	pdf_url	local_pdf	sha256
B2,B6	0710.3565v4	https://arxiv.org/abs/0710.3565v4	https://arxiv.org/pdf/0710.3565v4	output/pdf/gate1-v0-six-bridges/0710.3565v4.pdf	014a188e753827d78eb6da4eefebe23e0d7c9b484bb5e18fb044b64bd4d39356
B1,B5	0911.3431v1	https://arxiv.org/abs/0911.3431v1	https://arxiv.org/pdf/0911.3431v1	output/pdf/gate1-v0-six-bridges/0911.3431v1.pdf	7a01cae76a4d94f8ca1d1ca867366fd3b8cf77aa776897b787c2bd31e3c759a6
B4	1001.2933v4	https://arxiv.org/abs/1001.2933v4	https://arxiv.org/pdf/1001.2933v4	output/pdf/gate1-v0-six-bridges/1001.2933v4.pdf	d10e8d591b29284dcf029c2bde74b27bf76be98f957173eeb545d04e3f79cfd6
B6	1103.4967v3	https://arxiv.org/abs/1103.4967v3	https://arxiv.org/pdf/1103.4967v3	output/pdf/gate1-v0-six-bridges/1103.4967v3.pdf	a732d6b4802fcbbe5dc348bb7a84f485ce80d67ad45ba8970d96ce8a3f652b3c
B6	1104.2932v2	https://arxiv.org/abs/1104.2932v2	https://arxiv.org/pdf/1104.2932v2	output/pdf/gate1-v0-six-bridges/1104.2932v2.pdf	16c847039f168d21abb1f69771f06b16ecd6b5a674054f83c5fe1795a5426569
B6	1104.2933v3	https://arxiv.org/abs/1104.2933v3	https://arxiv.org/pdf/1104.2933v3	output/pdf/gate1-v0-six-bridges/1104.2933v3.pdf	748b2c1bced36e6dd106226b32839da619f17854b2c42cbf2e0b4b273c1a3ebb
B6	1104.2934v2	https://arxiv.org/abs/1104.2934v2	https://arxiv.org/pdf/1104.2934v2	output/pdf/gate1-v0-six-bridges/1104.2934v2.pdf	60e80dbde10bfacdb47a417579cc91aba0c197b3cad0f818df34bfaf16050455
B1	1107.1092v2	https://arxiv.org/abs/1107.1092v2	https://arxiv.org/pdf/1107.1092v2	output/pdf/gate1-v0-six-bridges/1107.1092v2.pdf	35102f0d5915b0724267655a7ee6e24c60f319450777293e202ed4a426d50c5b
B2	1112.0360v1	https://arxiv.org/abs/1112.0360v1	https://arxiv.org/pdf/1112.0360v1	output/pdf/gate1-v0-six-bridges/1112.0360v1.pdf	9d5a7f00057c9b2d6ea8905f2a10d70049129a37e8d5f65bac50a3f560d53a2c
B4	1201.0290v3	https://arxiv.org/abs/1201.0290v3	https://arxiv.org/pdf/1201.0290v3	output/pdf/gate1-v0-six-bridges/1201.0290v3.pdf	5bcab4dfbce278bdf158fbb44664a50ab6701a1251d9736f771c9550a48294c1
B6	1312.2697v2	https://arxiv.org/abs/1312.2697v2	https://arxiv.org/pdf/1312.2697v2	output/pdf/gate1-v0-six-bridges/1312.2697v2.pdf	e8f20aac50acc8c3ba7a6ef19c7fca0fde5e439f293cd574eeb5c226d2a8824e
B5	1404.1018v2	https://arxiv.org/abs/1404.1018v2	https://arxiv.org/pdf/1404.1018v2	output/pdf/gate1-v0-six-bridges/1404.1018v2.pdf	9daae840abdb8b46d8749c5d5be00fe98e44c282f576355feba8a6148ebc2d9d
B4	1507.01221v2	https://arxiv.org/abs/1507.01221v2	https://arxiv.org/pdf/1507.01221v2	output/pdf/gate1-v0-six-bridges/1507.01221v2.pdf	5755695bf54e27db8848c773ee8b001c38fe705fcbd4b9537b72ce555f0928c2
B6	1511.05545v2	https://arxiv.org/abs/1511.05545v2	https://arxiv.org/pdf/1511.05545v2	output/pdf/gate1-v0-six-bridges/1511.05545v2.pdf	71af662da3c115e02b690278108b7b205a25bc9e5b755b069b00a9e452135db7
B5	1606.03823v2	https://arxiv.org/abs/1606.03823v2	https://arxiv.org/pdf/1606.03823v2	output/pdf/gate1-v0-six-bridges/1606.03823v2.pdf	bc701a6574619ed61cf4a6d6d9aa741a840fce89673ddb73768b6b3c12d9a53e
B4	1703.02076v1	https://arxiv.org/abs/1703.02076v1	https://arxiv.org/pdf/1703.02076v1	output/pdf/gate1-v0-six-bridges/1703.02076v1.pdf	3934d9b6064ab9d40647ce722a606e8959cf65028adad3af42d666989bfcf398
B6	1801.09630v3	https://arxiv.org/abs/1801.09630v3	https://arxiv.org/pdf/1801.09630v3	output/pdf/gate1-v0-six-bridges/1801.09630v3.pdf	7d32b1278d26638eb58df10c2797344e4e192e6c31972f8776b8a0f5dbdfd81a
B6	1807.06209v4	https://arxiv.org/abs/1807.06209v4	https://arxiv.org/pdf/1807.06209v4	output/pdf/gate1-v0-six-bridges/1807.06209v4.pdf	8e172730faf07c9f4ff3fdcc7043f76ed67df6f76066d47df30d693025b6ce77
B6	1807.06211v2	https://arxiv.org/abs/1807.06211v2	https://arxiv.org/pdf/1807.06211v2	output/pdf/gate1-v0-six-bridges/1807.06211v2.pdf	fa728dc0198ccfddd7132c0e0a29cca586a1431a045568a33d7a197a0427427d
B2,B6	1810.04153v3	https://arxiv.org/abs/1810.04153v3	https://arxiv.org/pdf/1810.04153v3	output/pdf/gate1-v0-six-bridges/1810.04153v3.pdf	84e0ed68151f774f4bc6da22fc6de2a60ab77b45522d76715a310ab7803bac00
B5,B6	1810.11621v3	https://arxiv.org/abs/1810.11621v3	https://arxiv.org/pdf/1810.11621v3	output/pdf/gate1-v0-six-bridges/1810.11621v3.pdf	b3ba47cf211b0787b0c9437e280c7ead700ad49920867b59e2e555fe33a34e4b
B6	1811.07972v2	https://arxiv.org/abs/1811.07972v2	https://arxiv.org/pdf/1811.07972v2	output/pdf/gate1-v0-six-bridges/1811.07972v2.pdf	27b34b7eda95dd0ad59749a214e3dd53710e2bc7d9e9e13f807163411590fe92
B6	2005.05290v2	https://arxiv.org/abs/2005.05290v2	https://arxiv.org/pdf/2005.05290v2	output/pdf/gate1-v0-six-bridges/2005.05290v2.pdf	de3b615ab6695b481558b7be46ed5483deb412edefd49c6fffab17812eaa487b
B2,B6	2109.02660v3	https://arxiv.org/abs/2109.02660v3	https://arxiv.org/pdf/2109.02660v3	output/pdf/gate1-v0-six-bridges/2109.02660v3.pdf	b10542a3bdc7e6ae9eecbcec60f80d44d985abb67f7423c9be0af375d2115c0f
B6	2110.00483v1	https://arxiv.org/abs/2110.00483v1	https://arxiv.org/pdf/2110.00483v1	output/pdf/gate1-v0-six-bridges/2110.00483v1.pdf	c2a74323259f2b284b640bf82745f7a09006a58adc45ce8022b06fa8a688c769
B5,B6	2111.07835v2	https://arxiv.org/abs/2111.07835v2	https://arxiv.org/pdf/2111.07835v2	output/pdf/gate1-v0-six-bridges/2111.07835v2.pdf	64b800119cfdfdb3e23516603462f856783176675798669534196e95ee698386
B2,B6	2205.15387v2	https://arxiv.org/abs/2205.15387v2	https://arxiv.org/pdf/2205.15387v2	output/pdf/gate1-v0-six-bridges/2205.15387v2.pdf	fdd2c41324d214d2729575964abd7eabb0be918dd07fae76e592881eccf8a14e
B6	2302.07001v1	https://arxiv.org/abs/2302.07001v1	https://arxiv.org/pdf/2302.07001v1	output/pdf/gate1-v0-six-bridges/2302.07001v1.pdf	75a893efeb872a40125ef5ab3d4dd00bec2ed072b066a622959dc488211498c1
B1,B6	2302.07903v1	https://arxiv.org/abs/2302.07903v1	https://arxiv.org/pdf/2302.07903v1	output/pdf/gate1-v0-six-bridges/2302.07903v1.pdf	e969896f5d7f745e65b143877ceb701ba3f6c0d4e82b2b8ee4bb08f06b33f62d
B5,B6	2309.17184v2	https://arxiv.org/abs/2309.17184v2	https://arxiv.org/pdf/2309.17184v2	output/pdf/gate1-v0-six-bridges/2309.17184v2.pdf	43b4d901fe58571b9c935fff96e032c35436969b1ef6b76ad0e437316fadd6d9
B4	2405.10307v3	https://arxiv.org/abs/2405.10307v3	https://arxiv.org/pdf/2405.10307v3	output/pdf/gate1-v0-six-bridges/2405.10307v3.pdf	71380d31e3f430fe7816a86f50095adaf33a8524afcac88dffc6c53f375ffccd
B6	2503.14452v2	https://arxiv.org/abs/2503.14452v2	https://arxiv.org/pdf/2503.14452v2	output/pdf/gate1-v0-six-bridges/2503.14452v2.pdf	4cbf9ccdb2ada7a07bd4bad878dc7f548bca1e963eeeb1b8694f77603a31b93e
B6	2503.14454v2	https://arxiv.org/abs/2503.14454v2	https://arxiv.org/pdf/2503.14454v2	output/pdf/gate1-v0-six-bridges/2503.14454v2.pdf	cabf9bef8c2489581e412b33fb0ccdbed6f96eb9c886a81563e749b449df0cf7
B6	2503.14738v3	https://arxiv.org/abs/2503.14738v3	https://arxiv.org/pdf/2503.14738v3	output/pdf/gate1-v0-six-bridges/2503.14738v3.pdf	1e82f26e4cc3901b16168cd147f252bfa804f9c3caad3f4f7e3532640d237841
B6	2506.20707v2	https://arxiv.org/abs/2506.20707v2	https://arxiv.org/pdf/2506.20707v2	output/pdf/gate1-v0-six-bridges/2506.20707v2.pdf	29e0b0f693df02c014cf316d87e66f76894988d4a835cdeb61dcf0c0646e99e8
B6	2507.15926v1	https://arxiv.org/abs/2507.15926v1	https://arxiv.org/pdf/2507.15926v1	output/pdf/gate1-v0-six-bridges/2507.15926v1.pdf	be5ac313ad70f75d097f5442fb669e25a729ed496d8446ee55d51dd0b3773231
B6	2512.10613v2	https://arxiv.org/abs/2512.10613v2	https://arxiv.org/pdf/2512.10613v2	output/pdf/gate1-v0-six-bridges/2512.10613v2.pdf	8d011344130154eba8e64fc9c26bb882c4f0806d1d0354b7b0da57cef17f3b79
B1	gr-qc/0003040v1	https://arxiv.org/abs/gr-qc/0003040v1	https://arxiv.org/pdf/gr-qc/0003040v1	output/pdf/gate1-v0-six-bridges/gr-qc_0003040v1.pdf	0ea82f14a19e0f75f9efc8eec0620ba7e120fd583220376c03f79a2bbcd2bddb
B6	gr-qc/0110035v3	https://arxiv.org/abs/gr-qc/0110035v3	https://arxiv.org/pdf/gr-qc/0110035v3	output/pdf/gate1-v0-six-bridges/gr-qc_0110035v3.pdf	fd00094d9af52aa4de7bb641a5eef537b6eb6dbdd72263203a20c55c3824ea1b
B2,B6	gr-qc/0306003v3	https://arxiv.org/abs/gr-qc/0306003v3	https://arxiv.org/pdf/gr-qc/0306003v3	output/pdf/gate1-v0-six-bridges/gr-qc_0306003v3.pdf	536e525209f80168a05ff094c1dc9fc5878ea6e72c6762903aa5f17f5e3ada5a
B6	gr-qc/0507106v1	https://arxiv.org/abs/gr-qc/0507106v1	https://arxiv.org/pdf/gr-qc/0507106v1	output/pdf/gate1-v0-six-bridges/gr-qc_0507106v1.pdf	5a40b745708c9005a8713505f3c25c028e3736eb39618f421b692b073ccc9b15
B5,B6	gr-qc/0702093v1	https://arxiv.org/abs/gr-qc/0702093v1	https://arxiv.org/pdf/gr-qc/0702093v1	output/pdf/gate1-v0-six-bridges/gr-qc_0702093v1.pdf	7aca86c11148c2bf874fe463379547f7cbecf326cd896863bbedf0632d6145f1
B1,B2	gr-qc/9508015v3	https://arxiv.org/abs/gr-qc/9508015v3	https://arxiv.org/pdf/gr-qc/9508015v3	output/pdf/gate1-v0-six-bridges/gr-qc_9508015v3.pdf	99b930294654d9ca23efb1b628d78db2301b9d3f1bcf9a0c3a07f13e1e2340b0
B1	gr-qc/9812024v2	https://arxiv.org/abs/gr-qc/9812024v2	https://arxiv.org/pdf/gr-qc/9812024v2	output/pdf/gate1-v0-six-bridges/gr-qc_9812024v2.pdf	5c350766b7a5735664e318d443f0f6520dd9857372f9307196a7b0426031c482
